Product,Price,Description,Category,Tags,Stock Status,Related Products
Feebas,£194.00,"While Feebas’s body is in tatters, it has a hardy and tenacious life force that enables it to live anywhere. However, this Pokémon is also slow and dimwitted, making it an easy catch.","Categories: Fish, Pokemon","Tags: feebas, Fish, Oblivious",146 in stock,"Charmander, Ekans, Rattata"
Milotic,£152.00,"Milotic live at the bottom of large lakes. When this Pokémon’s body glows a vivid pink, it releases a pulsing wave of energy that brings soothing calm to troubled hearts.","Categories: Pokemon, Tender","Tags: Marvel Scale, milotic, Tender",79 in stock,"Squirtle, Caterpie, Beedrill"
Castform,£119.00,"Castform borrows the power of nature to transform itself into the guises of the sun, rain, and snow-clouds. This Pokémon’s feelings change with the weather.","Categories: Pokemon, Weather","Tags: castform, Forecast, Weather",131 in stock,"Fearow, Ivysaur, Charmander"
Kecleon,£100.00,"Kecleon alters its body coloration to blend in with its surroundings, allowing it to sneak up on its prey unnoticed. Then it lashes out with its long, stretchy tongue to instantly ensnare the unsuspecting target.","Categories: Color Swap, Pokemon","Tags: Color Change, Color Swap, kecleon",53 in stock,"Caterpie, Wartortle, Pidgey"
Shuppet,£174.00,"Shuppet grows by feeding on dark emotions, such as vengefulness and envy, in the hearts of people. It roams through cities in search of grudges that taint people.","Categories: Pokemon, Puppet","Tags: Insomnia, Puppet, shuppet",138 in stock,"Pidgeotto, Arbok, Raticate"
Banette,£104.00,"A cursed energy permeated the stuffing of a discarded and forgotten plush doll, giving it new life as Banette. The Pokémon’s energy would escape if it were to ever open its mouth.","Categories: Marionette, Pokemon","Tags: banette, Insomnia, Marionette",233 in stock,"Venusaur, Weedle, Beedrill"
Duskull,£139.00,Duskull wanders lost among the deep darkness of midnight. There is an oft-told admonishment given to misbehaving children that this Pokémon will spirit away bad children who earn scoldings from their mothers.,"Categories: Pokemon, Requiem","Tags: duskull, Levitate, Requiem",75 in stock,"Beedrill, Pidgeotto, Rattata"
Dusclops,£39.00,"Dusclops absorbs anything, however large the object may be. This Pokémon hypnotizes its foe by waving its hands in a macabre manner and by bringing its single eye to bear. The hypnotized foe is made to do Dusclops’s bidding.","Categories: Beckon, Pokemon","Tags: Beckon, dusclops, Pressure",82 in stock,"Pidgeot, Charizard, Beedrill"
Tropius,£196.00,Children of the southern tropics eat as snacks the fruit that grows in bunches around the neck of Tropius. This Pokémon flies by flapping the leaves on its back as if they were wings.,"Categories: Fruit, Pokemon","Tags: Chlorophyll, fruit, tropius",66 in stock,"Wartortle, Pidgeot, Charmeleon"
Chimecho,£51.00,"In high winds, Chimecho cries as it hangs from a tree branch or the eaves of a building using a suction cup on its head. This Pokémon plucks berries with its long tail and eats them.","Categories: Pokemon, Wind Chime","Tags: chimecho, Levitate, Wind Chime",43 in stock,"Ekans, Rattata, Spearow"
Absol,£134.00,"Absol has the ability to foretell the coming of natural disasters. It lives in a harsh, rugged mountain environment. This Pokémon very rarely ventures down from the mountains.","Categories: Disaster, Pokemon","Tags: absol, Disaster, Pressure",59 in stock,"Raticate, Pidgey, Fearow"
Wynaut,£168.00,"Wynaut gather on moonlit nights to play by squeezing up against each other. By being squeezed, this Pokémon gains endurance and is trained to dole out powerful counterattacks.","Categories: Bright, Pokemon","Tags: Bright, Shadow Tag, wynaut",155 in stock,"Raticate, Venusaur, Caterpie"
Snorunt,£82.00,Snorunt survives by eating only snow and ice. Old folklore claims that a house visited by this Pokémon is sure to prosper for many generations to come.,"Categories: Pokemon, Snow Hat","Tags: Inner Focus, snorunt, Snow Hat",80 in stock,"Kakuna, Butterfree, Metapod"
Glalie,£178.00,"Glalie has the ability to freely control ice. For example, it can instantly freeze its prey solid. After immobilizing its prey in ice, this Pokémon enjoys eating it in leisurely fashion.","Categories: Face, Pokemon","Tags: Face, glalie, Inner Focus",14 in stock,"Wartortle, Charmeleon, Raticate"
Spheal,£193.00,"Spheal always travels by rolling around on its ball-like body. When the season for ice floes arrives, this Pokémon can be seen rolling about on ice and crossing the sea.","Categories: Clap, Pokemon","Tags: Clap, spheal, Thick Fat",170 in stock,"Ekans, Pidgeotto, Arbok"
Sealeo,£160.00,"Sealeo often balances and rolls things on the tip of its nose. While the Pokémon is rolling something, it checks the object’s aroma and texture to determine whether it likes the object or not.","Categories: Ball Roll, Pokemon","Tags: Ball Roll, sealeo, Thick Fat",171 in stock,"Wartortle, Charmeleon, Pidgeotto"
Walrein,£27.00,"Walrein swims all over in frigid seawater while crushing icebergs with its grand, imposing tusks. Its thick layer of blubber makes enemy attacks bounce off harmlessly.","Categories: Ice Break, Pokemon","Tags: Ice Break, Thick Fat, walrein",226 in stock,"Ekans, Squirtle, Metapod"
Clamperl,£48.00,"Clamperl grows while being protected by its rock-hard shell. When its body becomes too large to fit inside the shell, it is sure evidence that this Pokémon is getting close to evolution.","Categories: Bivalve, Pokemon","Tags: Bivalve, clamperl, Shell Armor",139 in stock,"Kakuna, Ivysaur, Spearow"
Huntail,£52.00,"Huntail’s tail is shaped like a fish. It uses the tail to attract prey, then swallows the prey whole with its large, gaping mouth. This Pokémon swims by wiggling its slender body like a snake.","Categories: Deep Sea, Pokemon","Tags: Deep Sea, huntail, Swift Swim",54 in stock,"Charmander, Pidgeot, Charizard"
Gorebyss,£150.00,"Although Gorebyss is the very picture of elegance and beauty while swimming, it is also cruel. When it spots prey, this Pokémon inserts its thin mouth into the prey’s body and drains the prey of its body fluids.","Categories: Pokemon, South Sea","Tags: gorebyss, South Sea, Swift Swim",165 in stock,"Charizard, Pidgey, Wartortle"
Relicanth,£157.00,Relicanth is a rare species that was discovered in deep-sea explorations. This Pokémon’s body withstands the enormous water pressure of the ocean depths. Its body is covered in tough scales that are like craggy rocks.,"Categories: Longevity, Pokemon","Tags: Longevity, relicanth, Rock Head",14 in stock,"Squirtle, Wartortle, Pidgeotto"
Luvdisc,£44.00,Luvdisc’s heart-shaped body is a symbol of love and romance. It is said that any couple meeting this Pokémon is promised a loving relationship that never ends.,"Categories: Pokemon, Rendezvous","Tags: luvdisc, Rendezvous, Swift Swim",190 in stock,"Arbok, Rattata, Charizard"
Bagon,£34.00,"Bagon harbors a never-ending dream of one day soaring high among the clouds. As if trying to dispel its frustration over its inability to fly, this Pokémon slams its hard head against huge rocks and shatters them into pebbles.","Categories: Pokemon, Rock Head","Tags: bagon, Rock Head",232 in stock,"Rattata, Wartortle, Arbok"
Shelgon,£56.00,"Covering Shelgon’s body are outgrowths much like bones. The shell is very hard and bounces off enemy attacks. When awaiting evolution, this Pokémon hides away in a cavern.","Categories: Endurance, Pokemon","Tags: Endurance, Rock Head, shelgon",76 in stock,"Metapod, Charmander, Charizard"
Salamence,£62.00,"By evolving into Salamence, this Pokémon finally realizes its long-held dream of growing wings. To express its joy, it flies and wheels all over the sky while spouting flames from its mouth.","Categories: Dragon, Pokemon","Tags: Dragon, Intimidate, salamence",242 in stock,"Butterfree, Charmander, Arbok"
Beldum,£122.00,"Beldum keeps itself floating by generating a magnetic force that repels earth’s natural magnetism. When it sleeps, this Pokémon anchors itself to a cliff using the hooks on its rear.","Categories: Iron Ball, Pokemon","Tags: beldum, Clear Body, Iron Ball",93 in stock,"Ekans, Charmeleon, Ivysaur"
Metang,£78.00,"When two Beldum fuse together, Metang is formed. The brains of the Beldum are joined by a magnetic nervous system. This Pokémon turns its arms to the rear for traveling at high speed.","Categories: Iron Claw, Pokemon","Tags: Clear Body, Iron Claw, metang",227 in stock,"Pidgey, Pidgeot, Rattata"
Metagross,£170.00,"Metagross is the result of two Metang achieving fusion. When hunting, this Pokémon pins the prey to the ground under its massive body. It then eats the helpless victim using the large mouth on its stomach.","Categories: Iron Leg, Pokemon","Tags: Clear Body, Iron Leg, metagross",177 in stock,"Beedrill, Squirtle, Wartortle"
Regirock,£66.00,"Regirock’s body is composed entirely of rocks. Recently, a study made the startling discovery that the rocks were all unearthed from different locations.","Categories: Pokemon, Rock Peak","Tags: Clear Body, regirock, Rock Peak",65 in stock,"Pidgeot, Fearow, Metapod"
Regice,£165.00,"Regice cloaks itself with frigid air of -328 degrees Fahrenheit. Things will freeze solid just by going near this Pokémon. Its icy body is so cold, it will not melt even if it is immersed in magma.","Categories: Iceberg, Pokemon","Tags: Clear Body, Iceberg, regice",107 in stock,"Squirtle, Rattata, Butterfree"
Registeel,£196.00,Registeel was imprisoned by people in ancient times. The metal composing its body is thought to be a curious substance that is not of this earth.,"Categories: Iron, Pokemon","Tags: Clear Body, Iron, registeel",67 in stock,"Rattata, Arbok, Pidgeot"
Latias,£126.00,Latias is highly intelligent and capable of understanding human speech. It is covered with a glass-like down. The Pokémon enfolds its body with its down and refracts light to alter its appearance.,"Categories: Eon, Pokemon","Tags: Eon, latias, Levitate",245 in stock,"Wartortle, Raticate, Beedrill"
Latios,£166.00,Latios will only open its heart to a Trainer with a compassionate spirit. This Pokémon can fly faster than a jet plane by folding its forelegs to minimize air resistance.,"Categories: Eon, Pokemon","Tags: Eon, latios, Levitate",197 in stock,"Metapod, Fearow, Raticate"
Kyogre,£27.00,"Kyogre is said to be the personification of the sea itself. Legends tell of its many clashes against Groudon, as each sought to gain the power of nature.","Categories: Pokemon, Sea Basin","Tags: Drizzle, kyogre, Sea Basin",136 in stock,"Weedle, Fearow, Metapod"
Groudon,£124.00,"Through Primal Reversion and with nature’s full power, it will take back its true form. It can cause magma to erupt and expand the landmass of the world.","Categories: Continent, Pokemon","Tags: Continent, Drought, groudon",138 in stock,"Rattata, Raticate, Charmeleon"
Rayquaza,£97.00,"It flies forever through the ozone layer, consuming meteoroids for sustenance. The many meteoroids in its body provide the energy it needs to Mega Evolve.","Categories: Pokemon, Sky High","Tags: Air Lock, rayquaza, Sky High",31 in stock,"Wartortle, Rattata, Raticate"
Jirachi,£111.00,Jirachi will awaken from its sleep of a thousand years if you sing to it in a voice of purity. It is said to make true any wish that people desire.,"Categories: Pokemon, Wish","Tags: jirachi, Serene Grace, Wish",294 in stock,"Rattata, Metapod, Charizard"
Turtwig,£101.00,"It undertakes photosynthesis with its body, making oxygen. The leaf on its head wilts if it is thirsty.","Categories: Pokemon, Tiny Leaf","Tags: Overgrow, Tiny Leaf, turtwig",254 in stock,"Squirtle, Metapod, Pidgeotto"
Grotle,£154.00,It knows where pure water wells up. It carries fellow Pokémon there on its back.,"Categories: Grove, Pokemon","Tags: grotle, Grove, Overgrow",187 in stock,"Ivysaur, Charmander, Pidgeotto"
Torterra,£87.00,Small Pokémon occasionally gather on its unmoving back to begin building their nests.,"Categories: Continent, Pokemon","Tags: Continent, Overgrow, torterra",146 in stock,"Ivysaur, Spearow, Charizard"
Chimchar,£143.00,The gas made in its belly burns from its rear end. The fire burns weakly when it feels sick.,"Categories: Chimp, Pokemon","Tags: Blaze, chimchar, Chimp",242 in stock,"Caterpie, Ekans, Rattata"
Monferno,£68.00,It uses ceilings and walls to launch aerial attacks. Its fiery tail is but one weapon.,"Categories: Playful, Pokemon","Tags: Blaze, monferno, Playful",299 in stock,"Pidgeot, Fearow, Spearow"
Infernape,£165.00,It tosses its enemies around with agility. It uses all its limbs to fight in its own unique style.,"Categories: Flame, Pokemon","Tags: Blaze, Flame, infernape",82 in stock,"Kakuna, Charmander, Charmeleon"
Prinplup,£177.00,It lives a solitary life. Its wings deliver wicked blows that can snap even the thickest of trees.,"Categories: Penguin, Pokemon","Tags: Penguin, prinplup, Torrent",52 in stock,"Metapod, Squirtle, Butterfree"
Empoleon,£42.00,The three horns that extend from its beak attest to its power. The leader has the biggest horns.,"Categories: Emperor, Pokemon","Tags: Emperor, empoleon, Torrent",232 in stock,"Squirtle, Ekans, Venusaur"
Starly,£59.00,"They flock around mountains and fields, chasing after bug Pokémon. Their singing is noisy and annoying.","Categories: Pokemon, Starling","Tags: Keen Eye, Starling, starly",110 in stock,"Caterpie, Fearow, Venusaur"
Staravia,£158.00,It lives in forests and fields. Squabbles over territory occur when flocks collide.,"Categories: Pokemon, Starling","Tags: Intimidate, staravia, Starling",263 in stock,"Charizard, Wartortle, Weedle"
Staraptor,£42.00,"When Staravia evolve into Staraptor, they leave the flock to live alone. They have sturdy wings.","Categories: Pokemon, Predator","Tags: Intimidate, Predator, staraptor",131 in stock,"Beedrill, Butterfree, Charmander"
Bidoof,£128.00,It constantly gnaws on logs and rocks to whittle down its front teeth. It nests alongside water.,"Categories: Plump Mouse, Pokemon","Tags: bidoof, Plump Mouse, Simple",264 in stock,"Weedle, Blastoise, Metapod"
Bibarel,£114.00,It makes its nest by damming streams with bark and mud. It is known as an industrious worker.,"Categories: Beaver, Pokemon","Tags: Beaver, bibarel, Simple",156 in stock,"Ekans, Arbok, Pidgey"
Kricketot,£94.00,"When its antennae hit each other, it sounds like the music of a xylophone.","Categories: Cricket, Pokemon","Tags: Cricket, kricketot, Shed Skin",137 in stock,"Pidgey, Fearow, Beedrill"
Kricketune,£53.00,It signals its emotions with its melodies. Scientists are studying these melodic patterns.,"Categories: Cricket, Pokemon","Tags: Cricket, kricketune, Swarm",186 in stock,"Venusaur, Butterfree, Rattata"
Shinx,£149.00,All of its fur dazzles if danger is sensed. It flees while the foe is momentarily blinded.,"Categories: Flash, Pokemon","Tags: Flash, Intimidate, shinx",295 in stock,"Charmeleon, Ivysaur, Pidgeotto"
Luxio,£168.00,Strong electricity courses through the tips of its sharp claws. A light scratch causes fainting in foes.,"Categories: Pokemon, Spark","Tags: Intimidate, luxio, Spark",222 in stock,"Blastoise, Beedrill, Arbok"
Luxray,£43.00,Luxray’s ability to see through objects comes in handy when it’s scouting for danger.,"Categories: Gleam Eyes, Pokemon","Tags: Gleam Eyes, Intimidate, luxray",227 in stock,"Charmeleon, Squirtle, Charizard"
Budew,£171.00,"Over the winter, it closes its bud and endures the cold. In spring, the bud opens and releases pollen.","Categories: Bud, Pokemon","Tags: Bud, budew, Poison Point",62 in stock,"Venusaur, Rattata, Charizard"
Roserade,£155.00,"With the movements of a dancer, it strikes with whips that are densely lined with poison thorns.","Categories: Bouquet, Pokemon","Tags: Bouquet, Poison Point, roserade",116 in stock,"Caterpie, Spearow, Pidgey"
Cranidos,£47.00,"A lifelong jungle dweller from 100 million years ago, it would snap obstructing trees with headbutts.","Categories: Head Butt, Pokemon","Tags: cranidos, Head Butt, Mold Breaker",98 in stock,"Charmeleon, Pidgeotto, Squirtle"
Rampardos,£196.00,Its skull is as hard as iron. It is a brute that tears down jungle trees while catching prey.,"Categories: Head Butt, Pokemon","Tags: Head Butt, Mold Breaker, rampardos",91 in stock,"Caterpie, Beedrill, Venusaur"
Shieldon,£42.00,It was generated from a fossil dug out of a layer of clay that was older than anyone knows. It has a sturdy face.,"Categories: Pokemon, Shield","Tags: Shield, shieldon, Sturdy",284 in stock,"Venusaur, Squirtle, Spearow"
Bastiodon,£191.00,Any frontal attack is repulsed. It is a docile Pokémon that feeds on grass and berries.,"Categories: Pokemon, Shield","Tags: bastiodon, Shield, Sturdy",14 in stock,"Venusaur, Pidgeotto, Kakuna"
Burmy,£91.00,"If its cloak is broken in battle, it quickly remakes the cloak with materials nearby.","Categories: Bagworm, Pokemon","Tags: Bagworm, burmy, Shed Skin",266 in stock,"Spearow, Squirtle, Caterpie"
Mothim,£177.00,It flutters around at night and steals honey from the Combee hive.,"Categories: Moth, Pokemon","Tags: Moth, mothim, Swarm",151 in stock,"Raticate, Beedrill, Pidgeot"
Combee,£111.00,"It collects and delivers honey to its colony. At night, they cluster to form a beehive and sleep.","Categories: Pokemon, Tiny Bee","Tags: combee, Honey Gather, Tiny Bee",254 in stock,"Raticate, Spearow, Venusaur"
Vespiquen,£104.00,Its abdomen is a honeycomb for grubs. It raises its grubs on honey collected by Combee.,"Categories: Beehive, Pokemon","Tags: Beehive, Pressure, vespiquen",123 in stock,"Charizard, Kakuna, Wartortle"
Pachirisu,£151.00,A pair may be seen rubbing their cheek pouches together in an effort to share stored electricity.,"Categories: EleSquirrel, Pokemon","Tags: EleSquirrel, pachirisu, Run Away",86 in stock,"Kakuna, Metapod, Raticate"
Buizel,£55.00,It inflates the flotation sac around its neck and pokes its head out of the water to see what is going on.,"Categories: Pokemon, Sea Weasel","Tags: buizel, Sea Weasel, Swift Swim",62 in stock,"Fearow, Ivysaur, Squirtle"
Floatzel,£40.00,Its flotation sac developed as a result of pursuing aquatic prey. It can double as a rubber raft.,"Categories: Pokemon, Sea Weasel","Tags: floatzel, Sea Weasel, Swift Swim",116 in stock,"Caterpie, Butterfree, Fearow"
Cherubi,£101.00,It evolves by sucking the energy out of the small ball where it had been storing nutrients.,"Categories: Cherry, Pokemon","Tags: Cherry, cherubi, Chlorophyll",127 in stock,"Beedrill, Caterpie, Blastoise"
Cherrim,£161.00,"If it senses strong sunlight, it opens its folded petals to absorb the sun’s rays with its whole body.","Categories: Blossom, Pokemon","Tags: Blossom, cherrim, Flower Gift",143 in stock,"Caterpie, Wartortle, Kakuna"
Shellos,£163.00,"Its shape and coloration vary, depending on its habitat.","Categories: Pokemon, Sea Slug","Tags: Sea Slug, shellos, Sticky Hold",149 in stock,"Arbok, Blastoise, Charmeleon"
Gastrodon,£148.00,It apparently had a huge shell for protection in ancient times. It lives in shallow tidal pools.,"Categories: Pokemon, Sea Slug","Tags: gastrodon, Sea Slug, Sticky Hold",119 in stock,"Wartortle, Fearow, Pidgeotto"
Ambipom,£36.00,"To eat, it deftly shucks nuts with its two tails. It rarely uses its arms now.","Categories: Long Tail, Pokemon","Tags: ambipom, Long Tail, Pickup",247 in stock,"Charmeleon, Blastoise, Beedrill"
Drifloon,£70.00,These Pokémon are called the “Signpost for Wandering Spirits.” Children holding them sometimes vanish.,"Categories: Balloon, Pokemon","Tags: Aftermath, Balloon, drifloon",84 in stock,"Pidgeot, Venusaur, Fearow"
Drifblim,£36.00,"It’s drowsy in daytime, but flies off in the evening in big groups. No one knows where they go.","Categories: Blimp, Pokemon","Tags: Aftermath, Blimp, drifblim",233 in stock,"Beedrill, Pidgey, Butterfree"
Buneary,£180.00,"When it senses danger, it perks up its ears. On cold nights, it sleeps with its head tucked into its fur.","Categories: Pokemon, Rabbit","Tags: buneary, Rabbit, Run Away",204 in stock,"Pidgey, Blastoise, Pidgeotto"
Lopunny,£123.00,"The ears appear to be delicate. If they are touched roughly, it kicks with its graceful legs.","Categories: Pokemon, Rabbit","Tags: Cute Charm, lopunny, Rabbit",85 in stock,"Ivysaur, Beedrill, Kakuna"
Mismagius,£38.00,Its cries sound like incantations to torment the foe. It appears where you least expect it.,"Categories: Magical, Pokemon","Tags: Levitate, Magical, mismagius",215 in stock,"Spearow, Beedrill, Squirtle"
Honchkrow,£47.00,"Becoming active at night, it is known to swarm with numerous Murkrow in tow.","Categories: Big Boss, Pokemon","Tags: Big Boss, honchkrow, Insomnia",56 in stock,"Pidgey, Ivysaur, Rattata"
Glameow,£39.00,"When it’s happy, Glameow demonstrates beautiful movements of its tail, like a dancing ribbon.","Categories: Catty, Pokemon","Tags: Catty, glameow, Limber",96 in stock,"Charizard, Fearow, Pidgeot"
Purugly,£128.00,"To make itself appear intimidatingly beefy, it tightly cinches its waist with its twin tails.","Categories: Pokemon, Tiger Cat","Tags: Own Tempo, purugly, Tiger Cat",158 in stock,"Spearow, Rattata, Ekans"
Stunky,£106.00,It protects itself by spraying a noxious fluid from its rear. The stench lingers for 24 hours.,"Categories: Pokemon, Skunk","Tags: Skunk, Stench, stunky",12 in stock,"Raticate, Fearow, Rattata"
Skuntank,£112.00,It sprays a stinky fluid from its tail. The fluid smells worse the longer it is allowed to fester.,"Categories: Pokemon, Skunk","Tags: Skunk, skuntank, Stench",56 in stock,"Caterpie, Pidgey, Raticate"
Bronzong,£110.00,Ancient people believed that petitioning Bronzong for rain was the way to make crops grow.,"Categories: Bronze Bell, Pokemon","Tags: Bronze Bell, bronzong, Levitate",191 in stock,"Ekans, Ivysaur, Charizard"
Bonsly,£106.00,It prefers an arid atmosphere. It leaks water that looks like tears when adjusting its moisture level.,"Categories: Bonsai, Pokemon","Tags: Bonsai, bonsly, Rock Head",273 in stock,"Ivysaur, Charizard, Pidgeot"
Mime-jr,£170.00,"It habitually mimics foes. Once mimicked, the foe cannot take its eyes off this Pokémon.","Categories: Mime, Pokemon","Tags: Mime, mime-jr, Soundproof",188 in stock,"Arbok, Metapod, Charmander"
Happiny,£67.00,"It carefully carries a round, white rock that it thinks is an egg. It’s bothered by how curly its hair looks.","Categories: Playhouse, Pokemon","Tags: happiny, Natural Cure, Playhouse",270 in stock,"Venusaur, Wartortle, Spearow"
Chatot,£78.00,"It can learn and speak human words. If they gather, they all learn the same saying.","Categories: Music Note, Pokemon","Tags: chatot, Keen Eye, Music Note",261 in stock,"Blastoise, Weedle, Rattata"
Spiritomb,£165.00,It was bound to a fissure in an odd keystone as punishment for misdeeds 500 years ago.,"Categories: Forbidden, Pokemon","Tags: Forbidden, Pressure, spiritomb",51 in stock,"Caterpie, Ekans, Squirtle"
Gible,£194.00,"It nests in small, horizontal holes in cave walls. It pounces to catch prey that stray too close.","Categories: Land Shark, Pokemon","Tags: gible, Land Shark, Sand Veil",178 in stock,"Charizard, Pidgeot, Pidgeotto"
Gabite,£154.00,"As it digs to expand its nest, it habitually digs up gems that it then hoards in its nest.","Categories: Cave, Pokemon","Tags: Cave, gabite, Sand Veil",128 in stock,"Pidgeotto, Raticate, Pidgeot"
Garchomp,£62.00,It flies at speeds equal to a jet fighter plane. It never allows its prey to escape.,"Categories: Mach, Pokemon","Tags: garchomp, Mach, Sand Veil",65 in stock,"Ekans, Venusaur, Metapod"
Munchlax,£190.00,It conceals food under the long fur on its body. It carts around this food stash and swallows it without chewing.,"Categories: Big Eater, Pokemon","Tags: Big Eater, munchlax, Pickup",239 in stock,"Arbok, Wartortle, Raticate"
Riolu,£70.00,The aura that emanates from its body intensifies to alert others if it is afraid or sad.,"Categories: Emanation, Pokemon","Tags: Emanation, Inner Focus, riolu",86 in stock,"Arbok, Pidgeot, Squirtle"
Lucario,£102.00,"By reading the auras of all things, it can tell how others are feeling from over half a mile away.","Categories: Aura, Pokemon","Tags: Aura, Inner Focus, lucario",24 in stock,"Weedle, Ivysaur, Beedrill"
Hippopotas,£189.00,It enshrouds itself with sand to protect itself from germs. It does not enjoy getting wet.,"Categories: Hippo, Pokemon","Tags: Hippo, hippopotas, Sand Stream",231 in stock,"Ivysaur, Ekans, Rattata"
Hippowdon,£140.00,It blasts internally stored sand from ports on its body to create a towering twister for attack.,"Categories: Heavyweight, Pokemon","Tags: Heavyweight, hippowdon, Sand Stream",273 in stock,"Metapod, Pidgeotto, Venusaur"
Skorupi,£51.00,It burrows under the sand to lie in wait for prey. Its tail claws can inject its prey with a savage poison.,"Categories: Pokemon, Scorpion","Tags: Scorpion, skorupi, Sniper",42 in stock,"Charizard, Charmeleon, Raticate"
Drapion,£72.00,It has the power in its clawed arms to make scrap of a car. The tips of its claws release poison.,"Categories: Ogre Scorpion, Pokemon","Tags: drapion, Ogre Scorpion, Sniper",273 in stock,"Fearow, Weedle, Beedrill"
Croagunk,£145.00,"Inflating its poison sacs, it fills the area with an odd sound and hits flinching opponents with a poison jab.","Categories: Pokemon, Toxic Mouth","Tags: croagunk, Dry Skin, Toxic Mouth",207 in stock,"Charmander, Blastoise, Charmeleon"
Toxicroak,£145.00,Its knuckle claws secrete a toxin so vile that even a scratch could prove fatal.,"Categories: Pokemon, Toxic Mouth","Tags: Dry Skin, Toxic Mouth, toxicroak",108 in stock,"Arbok, Raticate, Squirtle"
Carnivine,£60.00,It binds itself to trees in marshes. It attracts prey with its sweet-smelling drool and gulps them down.,"Categories: Bug Catcher, Pokemon","Tags: Bug Catcher, carnivine, Levitate",245 in stock,"Squirtle, Kakuna, Wartortle"
Finneon,£172.00,"After long exposure to sunlight, the patterns on its tail fins shine vividly when darkness arrives.","Categories: Pokemon, Wing Fish","Tags: finneon, Swift Swim, Wing Fish",66 in stock,"Squirtle, Spearow, Weedle"
Lumineon,£72.00,"To avoid detection by predators, it crawls along the seafloor using the two fins on its chest.","Categories: Neon, Pokemon","Tags: lumineon, Neon, Swift Swim",76 in stock,"Arbok, Wartortle, Squirtle"
Mantyke,£121.00,"When it swims close to the surface of the ocean, people aboard ships are able to observe the pattern on its back.","Categories: Kite, Pokemon","Tags: Kite, mantyke, Water Absorb",117 in stock,"Weedle, Wartortle, Charmeleon"
Snover,£104.00,"In the spring, it grows berries with the texture of frozen treats around its belly.","Categories: Frost Tree, Pokemon","Tags: Frost Tree, snover, Snow Warning",143 in stock,"Blastoise, Pidgeot, Weedle"
Abomasnow,£46.00,It lives a quiet life on mountains that are perpetually covered in snow. It hides itself by whipping up blizzards.,"Categories: Frost Tree, Pokemon","Tags: abomasnow, Frost Tree, Snow Warning",61 in stock,"Caterpie, Venusaur, Kakuna"
Magnezone,£190.00,It evolved from exposure to a special magnetic field. Three units generate magnetism.,"Categories: Magnet Area, Pokemon","Tags: Magnet Area, magnezone, Sturdy",108 in stock,"Venusaur, Squirtle, Pidgey"
Lickilicky,£101.00,Their saliva contains lots of components that can dissolve anything. The numbness caused by their lick does not dissipate.,"Categories: Licking, Pokemon","Tags: lickilicky, Licking, Oblivious",125 in stock,"Squirtle, Blastoise, Charizard"
Rhyperior,£79.00,It puts rocks in holes in its palms and uses its muscles to shoot them. Geodude are shot at rare times.,"Categories: Drill, Pokemon","Tags: Drill, Lightning Rod, rhyperior",161 in stock,"Arbok, Butterfree, Rattata"
Tangrowth,£108.00,"Its vines grow so profusely that, in the warm season, you can’t even see its eyes.","Categories: Pokemon, Vine","Tags: Chlorophyll, tangrowth, Vine",136 in stock,"Pidgeot, Wartortle, Ivysaur"
Electivire,£61.00,"It pushes the tips of its two tails against the foe, then lets loose with over 20,000 volts of power.","Categories: Pokemon, Thunderbolt","Tags: electivire, Motor Drive, Thunderbolt",155 in stock,"Butterfree, Ivysaur, Ekans"
Magmortar,£200.00,"It blasts fireballs of over 3,600 degrees Fahrenheit out of its arms. Its breath also sears and sizzles.","Categories: Blast, Pokemon","Tags: Blast, Flame Body, magmortar",149 in stock,"Spearow, Charizard, Ekans"
Togekiss,£158.00,It shares many blessings with people who respect one another’s rights and avoid needless strife.,"Categories: Jubilee, Pokemon","Tags: Jubilee, Serene Grace, togekiss",208 in stock,"Raticate, Beedrill, Rattata"
Yanmega,£121.00,This six-legged Pokémon is easily capable of transporting an adult in flight. The wings on its tail help it stay balanced.,"Categories: Ogre Darner, Pokemon","Tags: Ogre Darner, Tinted Lens, yanmega",35 in stock,"Pidgeotto, Pidgey, Pidgeot"
Leafeon,£93.00,"Just like a plant, it uses photosynthesis. As a result, it is always enveloped in clear air.","Categories: Pokemon, Verdant","Tags: Leaf Guard, leafeon, Verdant",295 in stock,"Spearow, Rattata, Venusaur"
Glaceon,£142.00,It lowers its body heat to freeze its fur. The hairs then become like needles it can fire.,"Categories: Fresh Snow, Pokemon","Tags: Fresh Snow, glaceon, Snow Cloak",27 in stock,"Beedrill, Squirtle, Caterpie"
Gliscor,£28.00,Its flight is soundless. It uses its lengthy tail to carry off its prey… Then its elongated fangs do the rest.,"Categories: Fang Scorpion, Pokemon","Tags: Fang Scorpion, gliscor, Sand Veil",60 in stock,"Butterfree, Arbok, Ekans"
Mamoswine,£104.00,Its impressive tusks are made of ice. The population thinned when it turned warm after the ice age.,"Categories: Pokemon, Twin Tusk","Tags: mamoswine, Oblivious, Twin Tusk",284 in stock,"Venusaur, Charmeleon, Arbok"
Gallade,£149.00,"A master of courtesy and swordsmanship, it fights using extending swords on its elbows.","Categories: Blade, Pokemon","Tags: Blade, gallade, Steadfast",271 in stock,"Ekans, Pidgeotto, Squirtle"
Probopass,£181.00,It freely controls three small units called Mini-Noses using magnetic force.,"Categories: Compass, Pokemon","Tags: Compass, probopass, Sturdy",141 in stock,"Caterpie, Beedrill, Rattata"
